"","id","county","model_turnout","actual_turnout","repub","dem","oth","model_support","county_model_turnout","county_actual_turnout","county_dev","pc_dev","pc_county_ratio","pc_sd","t","cut1","twoway"
"1","ACCOMACKNA","ACCOMACK",0,464,"217","243","4","#N/A",10306.833202,9648,0.0682870234245439,1,14.6440707157925,0.218756499943088,62.3710414060479,FALSE,0.528260869565217
"2","Accomack901","ACCOMACK",1231.169,1088,"398","669","21","0.674605",10306.833202,9648,0.0682870234245439,0.131589154411765,1.92700088263722,0.218756499943088,4.23759240469833,FALSE,0.626991565135895
"3","Accomack601","ACCOMACK",844.5206,779,"428","321","30","0.57085",10306.833202,9648,0.0682870234245439,0.0841086007702182,1.23169229748543,0.218756499943088,1.05913331739039,FALSE,0.428571428571429
"4","Accomack802","ACCOMACK",588.1749,498,"215","271","12","0.632421",10306.833202,9648,0.0682870234245439,0.181074096385542,2.65166187226811,0.218756499943088,7.55022992550073,FALSE,0.55761316872428
"5","Accomack202","ACCOMACK",659.2065,583,"389","174","20","0.449666",10306.833202,9648,0.0682870234245439,0.130714408233276,1.91419103774107,0.218756499943088,4.17903485372503,FALSE,0.309058614564831
"6","Accomack402","ACCOMACK",525.160244,506,"332","151","23","0.519638233",10306.833202,9648,0.0682870234245439,0.0378660948616601,0.554513770885058,0.218756499943088,2.03644796488717,FALSE,0.312629399585921
"7","Accomack401","ACCOMACK",334.668651,293,"201","83","9","0.535825806",10306.833202,9648,0.0682870234245439,0.142213825938567,2.08258932380777,0.218756499943088,4.94883271623664,FALSE,0.292253521126761
"8","Accomack201","ACCOMACK",536.654074,512,"351","148","13","0.465430118",10306.833202,9648,0.0682870234245439,0.0481524882812501,0.705148443531996,0.218756499943088,1.3478527794361,FALSE,0.296593186372746
"9","Accomack101","ACCOMACK",1241.526177,1140,"769","353","18","0.438052462",10306.833202,9648,0.0682870234245439,0.08905805,1.30417238201058,0.218756499943088,1.39046100156894,FALSE,0.314616755793226
"10","Accomack602","ACCOMACK",197.2788,181,"144","36","1","0.251914",10306.833202,9648,0.0682870234245439,0.0899381215469613,1.31706021197924,0.218756499943088,1.44937504513799,FALSE,0.2
"11","Accomack702","ACCOMACK",462.3827,415,"203","202","10","0.571598",10306.833202,9648,0.0682870234245439,0.114175180722892,1.67198942049441,0.218756499943088,3.07186035920869,FALSE,0.498765432098765
"12","Accomack403","ACCOMACK",124.7086,115,"79","32","4","0.478545",10306.833202,9648,0.0682870234245439,0.0844226086956522,1.23629065175081,0.218756499943088,1.08015374085928,FALSE,0.288288288288288
"13","Accomack803","ACCOMACK",383.5148,353,"225","115","13","0.528624",10306.833202,9648,0.0682870234245439,0.0864441926345609,1.2658948699101,0.218756499943088,1.21548328840182,FALSE,0.338235294117647
"14","Accomack501","ACCOMACK",425.465256,355,"142","203","10","0.653677581",10306.833202,9648,0.0682870234245439,0.198493678873239,2.90675547005753,0.218756499943088,8.7163374370754,FALSE,0.588405797101449
"15","Accomack801","ACCOMACK",484.0995,443,"274","152","17","0.527613",10306.833202,9648,0.0682870234245439,0.09277539503386,1.35860944556143,0.218756499943088,1.63930875496145,FALSE,0.356807511737089
"16","Accomack701","ACCOMACK",997.7278,946,"495","416","35","0.556325",10306.833202,9648,0.0682870234245439,0.0546805496828753,0.80074583633443,0.218756499943088,0.910849111763113,FALSE,0.456641053787047
"17","Accomack502","ACCOMACK",388.2239,305,"72","227","6","0.788322",10306.833202,9648,0.0682870234245439,0.272865245901639,3.99585795686572,0.218756499943088,13.6949437280498,FALSE,0.759197324414716
"18","Accomack301","ACCOMACK",882.3517,672,"325","337","10","0.649789",10306.833202,9648,0.0682870234245439,0.313023363095238,4.58393626486186,0.218756499943088,16.3832218278966,TRUE,0.509063444108761
"19","AlbemarleNA","ALBEMARLE",0,1978,"819","1130","29","#N/A",37079.441098,34318,0.0804662596305147,1,12.4275690779192,0.211629722086517,53.9979402007033,FALSE,0.579784504874295
"20","ALBEMARLENA","ALBEMARLE",0,1978,"819","1130","29","#N/A",37079.441098,34318,0.0804662596305147,1,12.4275690779192,0.211629722086517,53.9979402007033,FALSE,0.579784504874295
"21","Albemarle306","ALBEMARLE",767.7869,608,"218","368","22","0.6749",37079.441098,34318,0.0804662596305147,0.262807401315789,3.2660571340404,0.211629722086517,10.7076506631427,FALSE,0.627986348122867
"22","Albemarle503","ALBEMARLE",1360.525707,1120,"521","557","42","0.536218305",37079.441098,34318,0.0804662596305147,0.214755095535714,2.66888378460522,0.211629722086517,7.88586673058599,FALSE,0.51669758812616
"23","Albemarle401","ALBEMARLE",836.109929,688,"355","302","31","0.506471581",37079.441098,34318,0.0804662596305147,0.215276059593023,2.67535810141454,0.211629722086517,7.91645939377851,FALSE,0.459665144596651
"24","Albemarle201","ALBEMARLE",1241.117532,988,"430","525","33","0.576441864",37079.441098,34318,0.0804662596305147,0.256191834008097,3.18384171433443,0.211629722086517,10.3191635503904,FALSE,0.549738219895288
"25","Albemarle501","ALBEMARLE",790.374944,620,"270","335","15","0.580245655",37079.441098,34318,0.0804662596305147,0.274798296774194,3.41507481565582,0.211629722086517,11.4117941083366,FALSE,0.553719008264463
"26","Albemarle106","ALBEMARLE",1666.631116,1355,"661","649","45","0.52945577",37079.441098,34318,0.0804662596305147,0.229986063468635,2.85816769071516,0.211629722086517,8.78027751676355,FALSE,0.495419847328244
"27","Albemarle402","ALBEMARLE",743.167202,593,"297","269","27","0.535952781",37079.441098,34318,0.0804662596305147,0.253233055649241,3.14707129189349,0.211629722086517,10.1454146928178,FALSE,0.475265017667845
"28","Albemarle104","ALBEMARLE",1170.181227,967,"317","614","36","0.706047545",37079.441098,34318,0.0804662596305147,0.210115022750776,2.61121895954382,0.211629722086517,7.61338692721591,FALSE,0.659505907626208
"29","Albemarle504","ALBEMARLE",2041.02577,1752,"674","1022","56","0.62359442",37079.441098,34318,0.0804662596305147,0.164969046803653,2.05016422487088,0.211629722086517,4.96227190829821,FALSE,0.602594339622642
"30","Albemarle305","ALBEMARLE",1210.593138,1002,"403","565","34","0.572985124",37079.441098,34318,0.0804662596305147,0.208176784431138,2.58713136893705,0.211629722086517,7.49956742034663,FALSE,0.583677685950413
"31","Albemarle307","ALBEMARLE",377.7612,316,"146","149","21","0.54101",37079.441098,34318,0.0804662596305147,0.195446835443038,2.42892904852905,0.211629722086517,6.75202440583886,FALSE,0.505084745762712
"32","Albemarle302","ALBEMARLE",1577.577594,1308,"526","747","35","0.597310485",37079.441098,34318,0.0804662596305147,0.206099077981651,2.56131052851242,0.211629722086517,7.37755790216528,FALSE,0.586802827965436
"33","Albemarle101","ALBEMARLE",1636.257465,1368,"604","708","56","0.565430987",37079.441098,34318,0.0804662596305147,0.196094638157895,2.4369796615168,0.211629722086517,6.79006543763899,FALSE,0.539634146341463
"34","Albemarle601","ALBEMARLE",2177.952056,1898,"788","1035","75","0.574723918",37079.441098,34318,0.0804662596305147,0.147498448893572,1.8330471625108,0.211629722086517,3.93634294038453,FALSE,0.567745474492595
"35","Albemarle105","ALBEMARLE",1494.140232,1317,"478","798","41","0.637956852",37079.441098,34318,0.0804662596305147,0.134502833712984,1.67154325714398,0.211629722086517,3.17319916372356,FALSE,0.625391849529781
"36","Albemarle103","ALBEMARLE",591.725964,461,"155","290","16","0.682524742",37079.441098,34318,0.0804662596305147,0.283570420824295,3.52409099324853,0.211629722086517,11.9269210787729,FALSE,0.651685393258427
"37","Albemarle602","ALBEMARLE",791.424484,679,"318","333","28","0.540330569",37079.441098,34318,0.0804662596305147,0.165573614138439,2.05767752718618,0.211629722086517,4.99777402133427,FALSE,0.511520737327189
"38","Albemarle405","ALBEMARLE",2160.426,1749,"523","1166","60","0.692054",37079.441098,34318,0.0804662596305147,0.235234991423671,2.92339910546139,0.211629722086517,9.08851122847047,FALSE,0.690349319123742
"39","Albemarle604","ALBEMARLE",2222.028,2006,"902","1034","70","0.552528",37079.441098,34318,0.0804662596305147,0.107690927218345,1.33833643707115,0.211629722086517,1.5987189026919,FALSE,0.534090909090909
"40","Albemarle506","ALBEMARLE",1709.471,1510,"707","748","55","0.51969",37079.441098,34318,0.0804662596305147,0.1321,1.64168187519312,0.211629722086517,3.03209714054624,FALSE,0.514089347079038
"41","Albemarle204","ALBEMARLE",754.241767,623,"274","328","21","0.574107464",37079.441098,34318,0.0804662596305147,0.210660942215088,2.61800341139755,0.211629722086517,7.64544505112609,FALSE,0.54485049833887
"42","Albemarle502","ALBEMARLE",904.213573,787,"387","359","41","0.509009885",37079.441098,34318,0.0804662596305147,0.148937195679797,1.85092728758224,0.211629722086517,4.02083071882677,FALSE,0.481233243967828
"43","Albemarle406","ALBEMARLE",1747.808829,1455,"826","587","42","0.440447482",37079.441098,34318,0.0804662596305147,0.201243181443299,2.50096353884682,0.211629722086517,7.09240424288423,FALSE,0.415428167020524
"44","Albemarle603","ALBEMARLE",1802.649,1590,"808","731","51","0.497922",37079.441098,34318,0.0804662596305147,0.133741509433962,1.66208184707574,0.211629722086517,3.12849178531302,FALSE,0.47498375568551
"45","Albemarle304","ALBEMARLE",667.83686,542,"247","285","10","0.56571838",37079.441098,34318,0.0804662596305147,0.232171328413284,2.88532522176835,0.211629722086517,8.90860321121437,FALSE,0.535714285714286
"46","Albemarle203","ALBEMARLE",1239.617074,963,"259","653","51","0.732164995",37079.441098,34318,0.0804662596305147,0.287245144340602,3.5697588735897,0.211629722086517,12.1427125086861,FALSE,0.716008771929825
"47","Albemarle301","ALBEMARLE",2386.954129,2097,"814","1198","85","0.592380951",37079.441098,34318,0.0804662596305147,0.138270924654268,1.71837146760867,0.211629722086517,3.39447342521669,FALSE,0.595427435387674
"48","Albemarle202","ALBEMARLE",1009.842406,0,"--","--","--","0.663518956",37079.441098,34318,0.0804662596305147,Inf,Inf,0.211629722086517,Inf,FALSE,NA
"49","Alexandria CityNA","ALEXANDRIA CITY",0,3973,"1229","2685","59","#N/A",46182.385804,45296,0.0195687434652066,1,51.1019014469687,0.221052882524742,226.651201625298,FALSE,0.685998978027593
"50","ALEXANDRIA CITYNA","ALEXANDRIA CITY",0,3973,"1229","2685","59","#N/A",46182.385804,45296,0.0195687434652066,1,51.1019014469687,0.221052882524742,226.651201625298,FALSE,0.685998978027593
"51","Alexandria City206","ALEXANDRIA CITY",1462.349,1183,"333","832","18","0.723042",46182.385804,45296,0.0195687434652066,0.236136094674556,12.0670034381312,0.221052882524742,50.0649587181589,FALSE,0.714163090128755
