id,text,textgr
63,He who is a teacher from the very heart takes all things seriously only with reference to his students - even himself.,"Wer von Grund aus Lehrer ist, nimmt alle Dinge nur in Bezug auf seine Schüler ernst, - sogar sich selbst."
64,'Knowledge for its own sake' - this is the last snare set by morality: one therewith gets completely entangled with it once more.,"Die Erkenntniss um ihrer selbst willen - das ist der letzte Fallstrick, den die Moral legt: damit verwickelt man sich noch einmal völlig in sie."
65,The charm of knowledge would be small if so much shame did not have to be overcome on the road to it.,"Der Reiz der Erkenntniss wäre gering, wenn nicht auf dem Wege zu ihr so viel Scham zu überwinden wäre."
66,"The inclination to disparage himself, to let himself be robbed, lied to and exploited, could be the self-effacement of a god among men.","Die Neigung, sich herabzusetzen, sich bestehlen, belügen und ausbeuten zu lassen, könnte die Scham eines Gottes unter Menschen sein."
67,Love of one is a piece of barbarism: for it is practised at the expense of all others. Love of God likewise.,Die Liebe zu Einem ist eine Barbarei: denn sie wird auf Unkosten aller Übrigen ausgeübt. Auch die Liebe zu Gott.
68,"'I have done that,' says my memory. 'I cannot have done that' - says my pride, and remains adamant. At last - memory yields.",Das habe ich gethan sagt mein Gedächtniss. Das kann ich nicht gethan haben - sagt mein Stolz und bleibt unerbittlich. Endlich - giebt das Gedächtniss nach.
69,One has been a bad spectator of life if one has not also seen the hand that in a considerate fashion - kills.,"Man hat schlecht dem Leben zugeschaut, wenn man nicht auch die Hand gesehn hat, die auf eine schonende Weise - tödtet."
70,If one has character one also has one's typical experience which recurs again and again.,"Hat man Charakter, so hat man auch sein typisches Erlebniss, das immer wiederkommt."
71,The sage as astronomer. - As long as you still feel the stars as being something 'over you' you still lack the eye of the man of knowledge.,"Der Weise als Astronom. - So lange du noch die Sterne fühlst als ein Über-dir, fehlt dir noch der Blick des Erkennenden."
72,It is not the strength but the duration of exalted sensations which makes exalted men.,"Nicht die Stärke, sondern die Dauer der hohen Empfindung macht die hohen Menschen."
73,He who attains his ideal by that very fact transcends it.,"Wer sein Ideal erreicht, kommt eben damit über dasselbe hinaus. 73 a. Mancher Pfau verdeckt vor Aller Augen seinen Pfauenschweif - und heisst es seinen Stolz."
74,A man with genius is unendurable if he does not also possess at least two other things: gratitude and cleanliness.,"Ein Mensch mit Genie ist unausstehlich, wenn er nicht mindestens noch zweierlei dazu besitzt: Dankbarkeit und Reinlichkeit."
75,The degree and kind of a man's sexuality reaches up into the topmost summit of his spirit.,Grad und Art der Geschlechtlichkeit eines Menschen reicht bis in den letzten Gipfel seines Geistes hinauf.
76,Under conditions of peace the warlike man attacks himself.,Unter friedlichen Umständen fällt der kriegerische Mensch über sich selber her.
77,With one's principles one seeks to tyrannize over one's habits or to justify or honour or scold or conceal them - two people with the same principles probably seek something fundamentally different with them.,Mit seinen Grundsätzen will man seine Gewohnheiten tyrannisiren oder rechtfertigen oder ehren oder beschimpfen oder verbergen: - zwei Menschen mit gleichen Grundsätzen wollen damit wahrscheinlich noch etwas Grund-Verschiedenes.
78,He who despises himself still nonetheless respects himself as one who despises.,"Wer sich selbst verachtet, achtet sich doch immer noch dabei als Verächter."
79,A soul which knows it is loved but does not itself love betrays its dregs - its lowest part comes up.,"Eine Seele, die sich geliebt weiss, aber selbst nicht liebt, verräth ihren Bodensatz: - ihr Unterstes kommt herauf."
80,A thing explained is a thing we have no further concern with. - What did that god mean who counselled: `know thyself!'? Does that perhaps mean: `Have no further concern with thyself! become objective!' - And Socrates? - And the `man of science'?-,"Eine Sache, die sich aufklärt, hört auf, uns etwas anzugehn. - Was meinte jener Gott, welcher anrieth: ""erkenne dich selbst""! Hiess es vielleicht: ""höre auf, dich etwas anzugehn! werde objektiv!"" - Und Sokrates? - Und der ""wissenschaftliche Mensch""? -"
81,It is dreadful to die of thirst in the sea. Do you have to salt your truth so much that it can no longer even - quench thirst?,"Es ist furchtbar, im Meere vor Durst zu sterben. Müsst ihr denn gleich eure Wahrheit so salzen, dass sie nicht einmal mehr - den Durst löscht?"
82,"`Pity for all' - would be harshness and tyranny for you, my neighbour!","Mitleiden mit Allen - wäre Härte und Tyrannei mit dir, mein Herr Nachbar! -"
83,Instinct - When the house burns down one forgets even one's dinner. - Yes: but one retrieves it from the ashes.,"Der Instinkt. - Wenn das Haus brennt, vergisst man sogar das Mittagsessen. - Ja: aber man holt es auf der Asche nach."
84,Woman learns how to hate to the extent that she unlearns how - to charm.,"Das Weib lernt hassen, in dem Maasse, in dem es zu bezaubern - verlernt."
85,"The same emotions in man and woman are, however, different in tempo: therefore man and woman never cease to misunderstand one another.","Die gleichen Affekte sind bei Mann und Weib doch im Tempo verschieden: deshalb hören Mann und Weib nicht auf, sich misszuverstehn."
86,Behind all their personal vanity women themselves always have their impersonal contempt - for `woman'.,"Die Weiber selber haben im Hintergrunde aller persönlichen Eitelkeit immer noch ihre unpersönliche Verachtung - für das ""Weib""."
87,"Bound heart, free spirit - If one binds one's heart firmly and imprisons it one can allow one's spirit many liberties: I have said that before. But no one believes it if he does not already know it . . .","Gebunden Herz, freier Geist. - Wenn man sein Herz hart bindet und gefangen legt, kann man seinem Geist viele Freiheiten geben: ich sagte das schon Ein Mal. Aber man glaubt mir's nicht, gesetzt, dass man's nicht schon weiss....."
88,One begins to mistrust very clever people when they become embarrassed.,"Sehr klugen Personen fängt man an zu misstrauen, wenn sie verlegen werden."
89,Terrible experiences make one wonder whether he who experiences them is not something terrible.,"Fürchterliche Erlebnisse geben zu rathen, ob Der, welcher sie erlebt, nicht etwas Fürchterliches ist."
90,"Heavy, melancholy people grow lighter through precisely that which makes others heavy, through hatred and love, and for a while they rise to their surface.","Schwere, Schwermüthige Menschen werden gerade durch das, was Andre schwer macht, durch Hass und Liebe, leichter und kommen zeitweilig an ihre Oberfläche."
91,"So cold, so icy one burns one's fingers on him! Every hand that grasps him starts back! - And for just that reason many think he is growing hot.","So kalt, so eisig, dass man sich an ihm die Finger verbrennt! Jede Hand erschrickt, die ihn anfasst! - Und gerade darum halten Manche ihn für glühend."
92,Who has not for the sake of his reputation - sacrificed himself?,Wer hat nicht für seinen guten Ruf schon einmal - sich selbst geopfert? -
93,"There is no hatred for men in geniality, but for just that reason all too much , contempt for men.","In der Leutseligkeit ist Nichts von Menschenhass, aber eben darum allzuviel von Menschenverachtung."
94,Mature manhood: that means to have rediscovered the seriousness one had as a child at play.,"Reife des Mannes: das heisst den Ernst wiedergefunden haben, den man als Kind hatte, beim Spiel."
95,To be ashamed of one's immorality: that is a step on the ladder at the end of which one is also ashamed of one's morality.,"Sich seiner Unmoralität schämen: das ist eine Stufe auf der Treppe, an deren Ende man sich auch seiner Moralität schämt."
96,One ought to depart from life as Odysseus departed from Nausicaa - blessing rather than in love with it.,"Man soll vom Leben scheiden wie Odysseus von Nausikaa schied, - mehr segnend als verliebt."
97,What? A great man? I always see only the actor of his own ideal.,Wie? Ein grosser Mann? Ich sehe immer nur den Schauspieler seines eignen Ideals.
98,If one trains one's conscience it will kiss us as it bites.,"Wenn man sein Gewissen dressirt, so küsst es uns zugleich, indem es beisst."
99,The disappointed man speaks. - `I listened for an echo and I heard only praise -.',"Der Enttäuschte spricht. - ""Ich horchte auf Widerhall, und ich hörte nur Lob -"""
100,Before ourselves we all pose as being simpler than we are: thus do we take a rest from our fellow men.,Vor uns selbst stellen wir uns Alle einfältiger als wir sind: wir ruhen uns so von unsern Mitmenschen aus.
101,Today a man of knowledge might easily feel as if he were God become animal.,Heute möchte sich ein Erkennender leicht als Thierwerdung Gottes fühlen.
102,To discover he is loved in return ought really to disenchant the lover with the beloved. `What? She is so modest as to love even you? Or so stupid? Or - or -.',"Gegenliebe entdecken sollte eigentlich den Liebenden über das geliebte Wesen ernüchtern. ""Wie? es ist bescheiden genug, sogar dich zu lieben? Oder dumm genug? Oder - oder -"""
103,"The danger in happiness. - `Now everything is turning out well for me, now I love every destiny - who would like to be my destiny?'","Die Gefahr im Glücke. - ""Nun gereicht mir Alles zum Besten, nunmehr liebe ich jedes Schicksal: - wer hat Lust, mein Schicksal zu sein?"""
