id,county,model_turnout,actual_turnout,repub,dem,oth,county_model_turnout,county_actual_turnout,county_dev,pc_dev,pc_county_ratio,pc_sd,t,modeled_support
Accomack901,Accomack,1231.169,1088,398,669,21,10306.8332,9184,0.122259713,0.131589154,1.076308388,0.07624711,1.000803686,0.674605
Accomack601,Accomack,844.5206,779,428,321,30,10306.8332,9184,0.122259713,0.084108601,0.687950257,0.07624711,4.092610786,0.57085
Accomack802,Accomack,588.1749,498,215,271,12,10306.8332,9184,0.122259713,0.181074096,1.481061032,0.07624711,6.309236303,0.632421
Accomack202,Accomack,659.2065,583,389,174,20,10306.8332,9184,0.122259713,0.130714408,1.069153569,0.07624711,0.906966431,0.449666
Accomack402,Accomack,525.160244,506,332,151,23,10306.8332,9184,0.122259713,0.037866095,0.3097185,0.07624711,9.053215302,0.519638233
Accomack401,Accomack,334.668651,293,201,83,9,10306.8332,9184,0.122259713,0.142213826,1.163210863,0.07624711,2.140551469,0.535825806
Accomack201,Accomack,536.654074,512,351,148,13,10306.8332,9184,0.122259713,0.048152488,0.393854093,0.07624711,7.949755863,0.465430118
Accomack101,Accomack,1241.526177,1140,769,353,18,10306.8332,9184,0.122259713,0.08905805,0.728433333,0.07624711,3.561665074,0.438052462
Accomack602,Accomack,197.2788,181,144,36,1,10306.8332,9184,0.122259713,0.089938122,0.73563171,0.07624711,3.467256547,0.251914
Accomack702,Accomack,462.3827,415,203,202,10,10306.8332,9184,0.122259713,0.114175181,0.933874112,0.07624711,0.867257631,0.571598
Accomack403,Accomack,124.7086,115,79,32,4,10306.8332,9184,0.122259713,0.084422609,0.690518625,0.07624711,4.058925995,0.478545
Accomack803,Accomack,383.5148,353,225,115,13,10306.8332,9184,0.122259713,0.086444193,0.707053785,0.07624711,3.842063214,0.528624
Accomack501,Accomack,425.465256,355,142,203,10,10306.8332,9184,0.122259713,0.198493679,1.623541185,0.07624711,8.177899298,0.653677581
Accomack801,Accomack,484.0995,443,274,152,17,10306.8332,9184,0.122259713,0.092775395,0.758838647,0.07624711,3.162891734,0.527613
Accomack701,Accomack,997.7278,946,495,416,35,10306.8332,9184,0.122259713,0.05468055,0.447249126,0.07624711,7.249466589,0.556325
Accomack502,Accomack,388.2239,305,72,227,6,10306.8332,9184,0.122259713,0.272865246,2.231849231,0.07624711,16.15601216,0.788322
Accomack301,Accomack,882.3517,672,325,337,10,10306.8332,9184,0.122259713,0.313023363,2.560314891,0.07624711,20.46392181,0.649789
Albemarle306,Albemarle,767.7869,608,218,368,22,37079.4411,30362,0.221245013,0.262807401,1.187856835,0.050925751,3.68883777,0.6749
Albemarle503,Albemarle,1360.525707,1120,521,557,42,37079.4411,30362,0.221245013,0.214755096,0.970666377,0.050925751,0.576007672,0.536218305
Albemarle401,Albemarle,836.109929,688,355,302,31,37079.4411,30362,0.221245013,0.21527606,0.973021069,0.050925751,0.529769908,0.506471581
Albemarle201,Albemarle,1241.117532,988,430,525,33,37079.4411,30362,0.221245013,0.256191834,1.157955291,0.050925751,3.101678181,0.576441864
Albemarle501,Albemarle,790.374944,620,270,335,15,37079.4411,30362,0.221245013,0.274798297,1.242054194,0.050925751,4.753080474,0.580245655
Albemarle106,Albemarle,1666.631116,1355,661,649,45,37079.4411,30362,0.221245013,0.229986063,1.039508461,0.050925751,0.775805173,0.52945577
Albemarle402,Albemarle,743.167202,593,297,269,27,37079.4411,30362,0.221245013,0.253233056,1.14458198,0.050925751,2.839074084,0.535952781
Albemarle104,Albemarle,1170.181227,967,317,614,36,37079.4411,30362,0.221245013,0.210115023,0.949693824,0.050925751,0.987833763,0.706047545
Albemarle504,Albemarle,2041.02577,1752,674,1022,56,37079.4411,30362,0.221245013,0.164969047,0.745639616,0.050925751,4.994730136,0.62359442
Albemarle305,Albemarle,1210.593138,1002,403,565,34,37079.4411,30362,0.221245013,0.208176784,0.940933227,0.050925751,1.159860614,0.572985124
Albemarle307,Albemarle,377.7612,316,146,149,21,37079.4411,30362,0.221245013,0.195446835,0.883395438,0.050925751,2.289697446,0.54101
Albemarle302,Albemarle,1577.577594,1308,526,747,35,37079.4411,30362,0.221245013,0.206099078,0.931542252,0.050925751,1.344265852,0.597310485
Albemarle101,Albemarle,1636.257465,1368,604,708,56,37079.4411,30362,0.221245013,0.196094638,0.886323425,0.050925751,2.232202214,0.565430987
Albemarle601,Albemarle,2177.952056,1898,788,1035,75,37079.4411,30362,0.221245013,0.147498449,0.666674682,0.050925751,6.545319616,0.574723918
Albemarle105,Albemarle,1494.140232,1317,478,798,41,37079.4411,30362,0.221245013,0.134502834,0.607936114,0.050925751,7.698735446,0.637956852
